row_number,id_match,model,nickname,player,num_invalidos,num_valid_plays,avg_execution_time,win_status,old_raiting,old_RD,new_raiting,new_RD,appearance_order
8,3453b524-06c3-11f0-b58f-005056c00003,cognitivecomputations/dolphin3.0-mistral-24b:free,J1,o,0,3,4.262681566671138,0.0,1101.961752773267,265.46141203222857,1065.0377586367704,263.03538548976286,1
1,1f1596c0-0729-11f0-838a-005056c00003,mistralai/mistral-small-24b-instruct-2501:free,J3,x,0,4,3.828947219994734,0.0,1065.2999145995843,264.6101859392712,1026.107249703229,261.831854341741,1
11,35bdd790-06c1-11f0-932d-005056c00003,o3-mini,J20,x,0,4,8.68350360000295,1.0,1995.4316152029976,252.30980303434916,2025.8404744874101,250.65986096748654,2
12,35bdd790-06c1-11f0-932d-005056c00003,o1-mini,J19,o,0,3,8.710372899998523,0.0,1847.1420471438,252.30937131546153,1819.2817773769955,250.96370146057419,2
26,98a2219e-06c7-11f0-bee7-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,o,0,2,6.327690266666953,0.0,1818.0879568024284,251.05692501324887,1786.345970526461,249.22691109796148,2
25,98a2219e-06c7-11f0-bee7-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,x,0,3,5.010302966666738,1.0,1716.1221319478234,250.11774391051938,1746.4635263767157,248.46124359020996,2
38,e76f0d84-06c7-11f0-830e-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,o,0,3,4.675574633334084,1.0,1708.4231091617407,241.51900206685065,1738.0982564416222,239.8869921528719,2
37,e76f0d84-06c7-11f0-830e-005056c00003,deepseek/deepseek-r1:free,J9,x,0,3,16.7553150499989,0.0,1761.5507750348124,246.89267919993404,1730.1946587310003,245.08175659476643,2
22,8f8705ef-06c8-11f0-887c-005056c00003,google/gemini-2.0-flash-exp:free,J14,o,0,4,2.315650300000925,1.0,1669.8674370860392,242.44136639725807,1717.509004748907,237.74309729428066,2
30,b26ab8e5-06c2-11f0-a68c-005056c00003,google/learnlm-1.5-pro-experimental:free,J16,o,0,3,3.4136524999994435,1.0,1662.5451509728896,239.24426339410377,1693.3617201732486,237.44584024636072,2
5,3371cb25-06cb-11f0-9a2e-005056c00003,cognitivecomputations/dolphin3.0-r1-mistral-24b:free,J2,x,7,4,10.386517699998876,1.0,1603.984167116997,241.4119154774543,1651.3419740959773,236.7532757530349,2
29,b26ab8e5-06c2-11f0-a68c-005056c00003,deepseek/deepseek-r1-distill-llama-70b:free,J4,x,0,3,28.644045999999435,0.0,1667.339376552244,269.9514272515196,1629.027716699703,267.36465779899214,2
34,c6909044-06c8-11f0-8dc8-005056c00003,google/gemini-exp-1206:free,J15,o,0,4,5.987930174998837,1.0,1581.6069311450474,249.47475656149254,1618.3292820383942,246.91549300938033,2
19,7b1c5ca5-06c4-11f0-86b3-005056c00003,gpt-3.5-turbo-0125,J17,x,0,3,1.038662033335034,1.0,1509.2250037106353,261.95760384975114,1553.42279462492,258.2983964468968,2
40,fecf820e-06c8-11f0-b678-005056c00003,gpt-4o,J18,o,0,4,1.4000680249992,0.5,1547.8756423101315,268.7801322831492,1547.8756423101315,265.35609573844215,2
33,c6909044-06c8-11f0-8dc8-005056c00003,google/gemini-2.0-flash-lite-preview-02-05:free,J10,x,0,4,2.195056349999504,0.0,1503.5033099486134,237.358863813337,1472.3164053116438,235.49497902281576,2
39,fecf820e-06c8-11f0-b678-005056c00003,meta-llama/llama-3.3-70b-instruct:free,J5,x,0,5,3.576355999999214,0.5,1436.4192863833111,260.7254245848483,1436.4192863833111,258.05404660191596,2
27,ac6ce43a-06c4-11f0-bd58-005056c00003,nvidia/llama-3.1-nemotron-70b-instruct:free,J6,x,0,5,5.750884259998566,1.0,1309.2607396174335,260.8579829857781,1352.322675212249,257.3864767800134,2
28,ac6ce43a-06c4-11f0-bd58-005056c00003,qwen/qwen2.5-vl-72b-instruct:free,J7,o,2,4,17.231675049999467,0.0,1359.157075736622,253.62689647478183,1318.1983440417216,250.4226690195323,2
20,7b1c5ca5-06c4-11f0-86b3-005056c00003,sophosympatheia/rogue-rose-103b-v0.2:free,J8,o,0,2,7.364332499998757,0.0,1332.2417932671772,233.34145773048155,1301.5744577736739,231.5158608314118,2
21,8f8705ef-06c8-11f0-887c-005056c00003,cognitivecomputations/dolphin3.0-mistral-24b:free,J1,x,1,4,2.741678959998535,0.0,1065.0377586367704,263.03538548976286,1028.771553782634,260.6819106670319,2
6,3371cb25-06cb-11f0-9a2e-005056c00003,mistralai/mistral-small-24b-instruct-2501:free,J3,o,1,3,5.046840599999996,0.0,1026.107249703229,261.831854341741,989.7913418767826,259.4597493115819,2
